KodeID	KodeNavn	Tekst	Niva0ID	Niva0Navn	Niva0SortID	Niva1ID	Niva1Navn	Niva2ID	Niva2Navn	Niva3ID	Niva3Navn	Niva4ID	Niva4Navn	MNiva	LasteSeq
-2	Ikke valgt/registrert	Ikke valgt/registrert	-2	Ikke valgt/registrert	1	-2	Ikke valgt/registrert	-2	Ikke valgt/registrert	-2	Ikke valgt/registrert	-2	Ikke valgt/registrert	1	NULL
-1	Ukjent	Ukjent	-1	Ukjent	1	-1	Ukjent	-1	Ukjent	-1	Ukjent	-1	Ukjent	1	NULL
Kapittel I (A00-B99)	Kapittel I (A00-B99) - Visse infeksjonssykdommer og parasittsykdommer	Visse infeksjonssykdommer og parasittsykdommer	Kapittel I (A00-B99)	Kapittel I (A00-B99) - Visse infeksjonssykdommer og parasittsykdommer	1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	1
(A00-A09)	(A00-A09) - Infeksiøse tarmsykdommer	Infeksiøse tarmsykdommer	Kapittel I (A00-B99)	Kapittel I (A00-B99) - Visse infeksjonssykdommer og parasittsykdommer	1	(A00-A09)	(A00-A09) - Infeksiøse tarmsykdommer	NULL	NULL	NULL	NULL	NULL	NULL	1	2
A00	A00 - Kolera (cholera)	A00 - Kolera (cholera)	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A00	A00 - Kolera (cholera)	A00	A00 - Kolera (cholera)	A00	A00 - Kolera (cholera)	3	NULL
A000	A000 - Kolera som skyldes Vibrio cholerae 01, biovar cholerae	A000 - Kolera som skyldes Vibrio cholerae 01, biovar cholerae	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A00	A00 - Kolera (cholera)	A000	A000 - Kolera som skyldes Vibrio cholerae 01, biovar cholerae	A000	A000 - Kolera som skyldes Vibrio cholerae 01, biovar cholerae	4	NULL
A001	A001 - Kolera som skyldes Vibrio cholerae 01, biovar eltor	A001 - Kolera som skyldes Vibrio cholerae 01, biovar eltor	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A00	A00 - Kolera (cholera)	A001	A001 - Kolera som skyldes Vibrio cholerae 01, biovar eltor	A001	A001 - Kolera som skyldes Vibrio cholerae 01, biovar eltor	4	NULL
A009	A009 - Uspesifisert kolera	A009 - Uspesifisert kolera	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A00	A00 - Kolera (cholera)	A009	A009 - Uspesifisert kolera	A009	A009 - Uspesifisert kolera	4	NULL
A01	A01 - Tyfoidfeber og paratyfoidfeber	A01 - Tyfoidfeber og paratyfoidfeber	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A01	A01 - Tyfoidfeber og paratyfoidfeber	A01	A01 - Tyfoidfeber og paratyfoidfeber	A01	A01 - Tyfoidfeber og paratyfoidfeber	3	NULL
A010	A010 - Tyfoidfeber	A010 - Tyfoidfeber	Kapittel I	Kapittel I - (A00-B99) Visse infeksjonssykdommer og parasittsykdommer	NULL	A00-A09	A00-A09 - Infeksiøse tarmsykdommer	A01	A01 - Tyfoidfeber og paratyfoidfeber	A010	A010 - Tyfoidfeber	A010	A010 - Tyfoidfeber	4	NULL
