KodeID	Niva0ID	Niva1ID
5000	5000	5000
5999	5999	5999
1.0	Z62	Z55-Z65
1	Z62	Z55-Z65
1.1	Z63	Z55-Z65
1.2	Z62	Z55-Z65
1.3	Z61	Z55-Z65
1.4	Z61	Z55-Z65
1.8	1.8	Z55-Z65
2	Z81	Z80-Z99
2.0	Z81	Z80-Z99
2.1	Z81	Z80-Z99
2.2	Z81	Z80-Z99
2.8	Z81	Z80-Z99
3	Z63	Z55-Z65
3.0	Z63	Z55-Z65
4	Z61	Z55-Z65
4.0	Z62	Z55-Z65
4.1	Z62	Z55-Z65
4.2	Z62	Z55-Z65
4.3	Z62	Z55-Z65
4.8	Z62	Z55-Z65
5	Z62	Z55-Z65
5.0	Z62	Z55-Z65
5.1	Z60	Z55-Z65
5.2	Z60	Z55-Z65
5.3	Z55	Z55-Z65
5.8	Z63	Z55-Z65
6	Z63	Z55-Z65
6.0	Z63	Z55-Z65
6.1	Z61	Z55-Z65
6.2	Z61	Z55-Z65
6.3	Z61	Z55-Z65
6.4	Z61	Z55-Z65
6.5	Z61	Z55-Z65
6.8	Z61	Z55-Z65
7	Z61	Z55-Z65
7.0	Z60	Z55-Z65
7.1	Z60	Z55-Z65
7.8	Z60	Z55-Z65
8	Z55	Z55-Z65
8.0	Z55	Z55-Z65
8.1	Z55	Z55-Z65
8.2	Z56	Z55-Z65
8.8	8.8	Z55-Z65
9	Z59	Z55-Z65
9.0	Z59	Z55-Z65
9.1	Z65	Z55-Z65
9.2	Z61	Z55-Z65
9.8	9.8	Z55-Z65
Z55-Z65	Z55-Z65	Z55-Z65
Z635	Z55-Z65	Z55-Z65
Z611	Z55-Z65	Z55-Z65
Z604	Z55-Z65	Z55-Z65
Z80-Z99	Z80-Z99	Z80-Z99
